City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Sao Joao Da Barra,BR,2022-05-10 00:37:45,-21.6403,-41.0511,67.28,77,0,11.07
132,Pacific Grove,US,2022-05-10 00:37:46,36.6177,-121.9166,59.11,60,0,13.8
133,Salalah,OM,2022-05-10 00:34:53,17.0151,54.0924,80.69,78,0,1.14
134,Dikson,RU,2022-05-10 00:37:47,73.5069,80.5464,15.57,89,16,15.77
135,Severo-Kurilsk,RU,2022-05-10 00:37:47,50.6789,156.125,39.76,80,33,14.9
136,Abha,SA,2022-05-10 00:37:11,18.2164,42.5053,67.82,45,0,0.0
137,Port Alfred,ZA,2022-05-10 00:34:55,-33.5906,26.891,61.23,73,96,5.57
138,Punta Alta,AR,2022-05-10 00:38:48,-38.8759,-62.0736,55.58,62,6,12.48
139,Guanica,PR,2022-05-10 00:38:49,17.9716,-66.908,81.5,83,78,8.01
140,Katsuura,JP,2022-05-10 00:38:49,35.1333,140.3,60.24,72,100,18.07
141,Santa Lucia,ES,2022-05-10 00:38:50,27.9117,-15.5407,62.76,78,0,10.36
142,Avera,US,2022-05-10 00:38:15,33.194,-82.5271,65.71,60,5,4.94
143,East London,ZA,2022-05-10 00:38:51,-33.0153,27.9116,61.72,66,21,5.3
144,Uyar,RU,2022-05-10 00:38:51,55.81,94.3153,32.9,66,90,7.4
145,Togur,RU,2022-05-10 00:38:52,58.3631,82.8265,44.13,50,18,6.49
146,Sechura,PE,2022-05-10 00:38:52,-5.5569,-80.8222,67.39,78,39,14.76
147,Outlook,CA,2022-05-10 00:38:53,51.5001,-107.0513,60.24,38,90,8.66
148,Tautira,PF,2022-05-10 00:38:53,-17.7333,-149.15,81.14,78,27,14.32
149,Kampene,CD,2022-05-10 00:38:54,-3.6,26.6667,68.77,98,100,1.12
150,Noumea,NC,2022-05-10 00:38:54,-22.2763,166.4572,78.78,99,41,14.65
151,Salina,US,2022-05-10 00:36:35,38.8403,-97.6114,89.73,51,0,20.71
152,Labuhan,ID,2022-05-10 00:38:55,-6.8844,112.2051,82.08,83,100,6.44
153,At-Bashi,KG,2022-05-10 00:38:56,41.1702,75.8106,61.11,42,13,1.01
154,Clyde River,CA,2022-05-10 00:38:32,70.4692,-68.5914,19.63,86,100,23.02
155,Verkhovyna,UA,2022-05-10 00:38:57,48.1557,24.7911,49.14,99,100,2.35
156,Ribeira Grande,PT,2022-05-10 00:34:42,38.5167,-28.7,63.91,82,97,2.77
157,Kobryn,BY,2022-05-10 00:38:57,52.2138,24.3564,41.67,69,100,5.28
158,Ahipara,NZ,2022-05-10 00:38:58,-35.1667,173.1667,66.4,68,12,11.92
159,Tuktoyaktuk,CA,2022-05-10 00:38:59,69.4541,-133.0374,42.8,56,100,8.05
160,Bulawayo,ZW,2022-05-10 00:38:59,-20.15,28.5833,55.9,75,0,5.17
161,Isangel,VU,2022-05-10 00:35:00,-19.55,169.2667,84.31,74,40,9.22
162,Bela,IN,2022-05-10 00:39:00,25.9333,81.9833,88.32,38,0,10.22
163,Yumen,CN,2022-05-10 00:39:01,40.2833,97.2,59.59,16,27,14.47
164,New Norfolk,AU,2022-05-10 00:35:05,-42.7826,147.0587,56.91,77,8,3.09
165,Bambous Virieux,MU,2022-05-10 00:39:05,-20.3428,57.7575,73.65,94,40,3.44
166,Turayf,SA,2022-05-10 00:39:06,31.6725,38.6637,66.45,34,0,13.8
167,Provideniya,RU,2022-05-10 00:39:06,64.3833,-173.3,35.13,62,1,7.2
168,Sol-Iletsk,RU,2022-05-10 00:39:07,51.1631,54.9918,53.29,90,100,16.75
169,Japura,ID,2022-05-10 00:39:07,-0.3167,102.35,80.22,86,79,2.3
170,Gull Lake,CA,2022-05-10 00:39:08,50.1001,-108.4847,41.95,80,100,9.91
171,Fortuna,US,2022-05-10 00:39:08,40.5982,-124.1573,54.09,82,20,6.91
172,Whitehorse,CA,2022-05-10 00:36:38,60.7161,-135.0538,54.37,17,75,21.85
173,Coquimbo,CL,2022-05-10 00:39:09,-29.9533,-71.3436,58.73,82,0,2.3
174,Morant Bay,JM,2022-05-10 00:39:10,17.8815,-76.4093,82.02,83,6,7.99
175,Aginskoye,RU,2022-05-10 00:39:10,51.1,114.53,35.47,53,100,20.07
176,Teya,RU,2022-05-10 00:39:11,60.3778,92.6267,33.93,84,18,0.56
177,Dwarka,IN,2022-05-10 00:39:12,22.2394,68.9678,81.81,75,42,13.15
178,Fethiye,TR,2022-05-10 00:39:12,36.6217,29.1164,58.87,63,1,3.91
179,Kahului,US,2022-05-10 00:40:13,20.8947,-156.47,87.82,58,20,23.02
180,Salinas,US,2022-05-10 00:36:36,36.6777,-121.6555,60.8,48,20,18.41
181,Buraydah,SA,2022-05-10 00:40:14,26.326,43.975,73.85,14,0,9.04
182,Mitsamiouli,KM,2022-05-10 00:40:15,-11.3847,43.2844,80.76,77,13,7.27
183,Grindavik,IS,2022-05-10 00:38:51,63.8424,-22.4338,41.47,81,0,19.57
184,College,US,2022-05-10 00:40:16,64.8569,-147.8028,37.72,91,75,8.05
185,San Quintin,MX,2022-05-10 00:40:16,30.4833,-115.95,61.03,63,0,23.29
186,Yuanping,CN,2022-05-10 00:40:17,38.7153,112.7575,57.6,60,0,4.72
187,Aswan,EG,2022-05-10 00:38:53,24.0934,32.907,85.3,13,0,11.5
188,Tura,IN,2022-05-10 00:40:11,25.5198,90.2201,73.02,92,83,5.19
189,Shinpokh,PK,2022-05-10 00:40:18,34.3292,71.1782,74.61,43,2,4.38
190,Kismayo,SO,2022-05-10 00:37:50,-0.3582,42.5454,80.53,84,99,11.25
191,Sabha,LY,2022-05-10 00:40:19,27.0377,14.4283,70.83,29,83,11.65
192,Qaqortoq,GL,2022-05-10 00:40:20,60.7167,-46.0333,34.68,88,100,3.22
193,Dunmore Town,BS,2022-05-10 00:40:20,25.5,-76.65,75.72,72,56,16.11
194,Yerbogachen,RU,2022-05-10 00:40:21,61.2767,108.0108,34.57,56,85,5.46
195,Vila Velha,BR,2022-05-10 00:40:21,-20.3297,-40.2925,73.35,73,0,8.05
196,Athens,GR,2022-05-10 00:40:22,37.9795,23.7162,63.16,42,0,4.61
197,Sola,VU,2022-05-10 00:40:23,-13.8833,167.55,81.54,78,54,24.65
198,Lebu,CL,2022-05-10 00:40:23,-37.6167,-73.65,52.54,90,100,13.8
199,Ekimchan,RU,2022-05-10 00:40:24,53.0667,132.9667,59.67,56,100,4.43
200,Pevek,RU,2022-05-10 00:40:24,69.7008,170.3133,32.95,77,100,12.41
201,Vardo,NO,2022-05-10 00:40:25,70.3705,31.1107,35.58,93,100,13.8
202,Codrington,AU,2022-05-10 00:40:26,-38.2667,141.9667,57.99,60,11,5.93
203,Sao Filipe,CV,2022-05-10 00:40:26,14.8961,-24.4956,71.78,83,24,7.85
204,Santa Fe,AR,2022-05-10 00:40:27,-31.6333,-60.7,63.01,82,97,3.33
205,Kavaratti,IN,2022-05-10 00:40:27,10.5669,72.642,85.33,73,100,20.58
206,San Jose,US,2022-05-10 00:37:48,37.3394,-121.895,60.94,42,40,16.11
207,Matagami,CA,2022-05-10 00:40:28,49.7502,-77.6328,62.71,23,0,8.05
208,Wielun,PL,2022-05-10 00:40:29,51.221,18.5696,46.94,73,9,8.1
209,Urucara,BR,2022-05-10 00:40:29,-2.5364,-57.76,73.69,99,91,2.19
210,Vao,NC,2022-05-10 00:40:30,-22.6667,167.4833,74.41,70,75,17.45
211,Sangar,RU,2022-05-10 00:40:30,63.9242,127.4739,26.33,67,7,14.47
212,Olafsvik,IS,2022-05-10 00:40:31,64.8945,-23.7142,38.66,88,98,21.85
213,Gaziantep,TR,2022-05-10 00:40:31,37.0594,37.3825,56.55,50,20,4.61
214,Rio Grande,BR,2022-05-10 00:35:44,-32.035,-52.0986,62.89,86,100,9.33
215,Kjollefjord,NO,2022-05-10 00:40:32,70.9457,27.3465,33.85,94,100,2.73
216,Rawatsar,IN,2022-05-10 00:40:32,29.2833,74.3833,86.59,32,0,11.36
217,Hanzhong,CN,2022-05-10 00:40:33,33.0728,107.0303,63.07,77,67,2.1
218,Den Helder,NL,2022-05-10 00:40:34,52.9599,4.7593,57.96,78,100,7.0
219,Lompoc,US,2022-05-10 00:40:34,34.6391,-120.4579,64.56,55,0,24.16
220,Touros,BR,2022-05-10 00:40:35,-5.1989,-35.4608,75.88,89,16,11.5
221,Nikolskoye,RU,2022-05-10 00:40:35,59.7035,30.7861,39.87,75,25,4.29
222,Urbana,US,2022-05-10 00:40:36,40.1106,-88.2073,78.89,66,0,21.85
223,Djenne,ML,2022-05-10 00:40:36,13.9061,-4.5533,87.8,8,12,8.81
224,Parana,AR,2022-05-10 00:39:54,-31.732,-60.5238,62.56,87,99,4.09
225,Pasan,IN,2022-05-10 00:40:37,22.85,82.2,75.11,73,11,3.49
