City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
536,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
538,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
539,Namatanai,PG,84.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
540,Salinas,US,89.56,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
543,Griffith,US,82.06,clear sky,41.5284,-87.4237,Apartment above Depot Bar
544,Qiongshan,CN,80.58,few clouds,20.0058,110.3542,Sun City Restaurant
547,Hadejia,NG,85.46,few clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
553,Axim,GH,79.88,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
555,Villa Sandino,NI,83.37,overcast clouds,12.0483,-84.9936,Salón Rossmary
562,Aden,YE,88.21,clear sky,12.7794,45.0367,Sama Emirate Hotel
564,Sibolga,ID,78.37,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
566,Wanning,CN,81.55,broken clouds,18.8003,110.3967,Paradise Hotel
568,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
578,Fayaoue,NC,77.18,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
579,Doha,QA,84.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
586,Maryborough,AU,78.12,broken clouds,-25.5333,152.7,Blue Shades Motel
587,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
588,Torit,SS,75.2,few clouds,4.4133,32.5678,Diplomat Guest House
589,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
593,Cairns,AU,83.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
602,Grand Baie,MU,75.67,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
604,Ambulu,ID,78.73,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
605,Kanbe,MM,78.85,broken clouds,16.7053,96.0017,CBT Mingalar Bar Bio Garden
609,Salvador,SV,78.84,broken clouds,13.8333,-88.9167,Chico's Ranch
611,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
613,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
618,Redding,US,85.23,clear sky,40.5865,-122.3917,Redding Inn & Suites
620,Juba,SS,76.68,clear sky,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
622,Banda Aceh,ID,81.27,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
626,Arnprior,CA,76.14,scattered clouds,45.4334,-76.3494,Country Squire Motel
630,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
631,Da Nang,VN,80.58,scattered clouds,16.0678,108.2208,Grand Mercure Danang
634,Springdale,US,85.91,scattered clouds,36.1867,-94.1288,Springdale Inn
635,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
636,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
637,Mandalay,MM,80.69,broken clouds,21.9747,96.0836,Hotel Yadanarbon
652,Pendencias,BR,77.79,broken clouds,-5.26,-36.7222,Cabanas Pousada
658,Chopda,IN,80.94,clear sky,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
660,Kudahuvadhoo,MV,83.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
663,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
